iteration,omega,theta,xi,rho,likelihood
120,0.136408,1.32364,0.301395,-0.191288,-32156.8
121,0.136545,1.32364,0.301395,-0.191288,-32156.8
122,0.136549,1.32364,0.301395,-0.191288,-32156.8
123,0.136549,1.32364,0.301395,-0.191288,-32156.8
124,0.136549,1.32364,0.301395,-0.191288,-32156.8
125,0.136548,1.32364,0.301395,-0.191288,-32156.8
126,0.136549,1.32364,0.301395,-0.191288,-32156.8
127,0.136549,1.32364,0.301395,-0.191288,-32156.8
128,0.136549,1.32364,0.301395,-0.191288,-32156.8
129,0.136549,1.32364,0.301395,-0.191288,-32156.8
130,0.136549,1.32364,0.301395,-0.191288,-32156.8
131,0.136549,1.32364,0.301395,-0.191288,-32156.8
132,0.136549,1.32364,0.301395,-0.191288,-32156.8
133,0.136549,1.32364,0.301395,-0.191288,-32156.8
134,0.136549,1.32364,0.301395,-0.191288,-32156.8
135,0.136549,1.32364,0.301395,-0.191288,-32156.8
136,0.136549,1.32364,0.301395,-0.191288,-32156.8
137,0.136549,2.32364,0.301395,-0.191288,-31611.8
138,0.136549,-0.294396,0.301395,-0.191288,-25484.6
139,0.136549,1.32364,0.301395,-0.191288,-32156.8
140,0.136549,0.705604,0.301395,-0.191288,-31453.4
141,0.136549,1.7056,0.301395,-0.191288,-32104
142,0.136549,1.46044,0.301395,-0.191288,-32167.3
143,0.136549,1.43559,0.301395,-0.191288,-32168.1
144,0.136549,1.43133,0.301395,-0.191288,-32168.1
145,0.136549,1.43056,0.301395,-0.191288,-32168.1
146,0.136549,1.43059,0.301395,-0.191288,-32168.1
147,0.136549,1.43059,0.301395,-0.191288,-32168.1
148,0.136549,1.43059,0.301395,-0.191288,-32168.1
149,0.136549,1.43059,0.301395,-0.191288,-32168.1
150,0.136549,1.43059,0.301395,-0.191288,-32168.1
151,0.136549,1.43059,0.301395,-0.191288,-32168.1
152,0.136549,1.43059,0.301395,-0.191288,-32168.1
153,0.136549,1.43059,0.301395,-0.191288,-32168.1
154,0.136549,1.43059,0.301395,-0.191288,-32168.1
155,0.136549,1.43059,0.301395,-0.191288,-32168.1
156,0.136549,1.43059,0.301395,-0.191288,-32168.1
157,0.136549,1.43059,0.301395,-0.191288,-32168.1
158,0.136549,1.43059,1.30139,-0.191288,24913.7
159,0.136549,1.43059,-1.31664,-0.191288,-32206
160,0.136549,1.43059,-0.508159,-0.191288,-31982.4
161,0.136549,1.43059,0.301395,-0.191288,-32168.1
162,0.136549,1.43059,0.683361,-0.191288,-6158.66
163,0.136549,1.43059,-0.00782737,-0.191288,-32116.8
164,0.136549,1.43059,0.147623,-0.191288,-32165.3
165,0.136549,1.43059,0.234225,-0.191288,-32176.3
166,0.136549,1.43059,0.23018,-0.191288,-32176.2
167,0.136549,1.43059,0.236589,-0.191288,-32176.3
168,0.136549,1.43059,0.237405,-0.191288,-32176.3
169,0.136549,1.43059,0.23737,-0.191288,-32176.3
170,0.136549,1.43059,0.237367,-0.191288,-32176.3
171,0.136549,1.43059,0.237367,-0.191288,-32176.3
172,0.136549,1.43059,0.237367,-0.191288,-32176.3
173,0.136549,1.43059,0.237367,-0.191288,-32176.3
174,0.136549,1.43059,0.237367,-0.191288,-32176.3
175,0.136549,1.43059,0.237367,-0.191288,-32176.3
176,0.136549,1.43059,0.237367,-0.191288,-32176.3
177,0.136549,1.43059,0.237367,-0.191288,-32176.3
178,0.136549,1.43059,0.237367,-0.191288,-32176.3
179,0.136549,1.43059,0.237367,-0.191288,-32176.3
180,0.136549,1.43059,0.237367,-0.191288,-32176.3
181,0.136549,1.43059,0.237367,-0.191288,-32176.3
182,0.136549,1.43059,0.237367,0.808712,-31182.9
183,0.136549,1.43059,0.237367,-1.80932,nan
184,0.136549,1.43059,0.237367,-0.191288,-32176.3
185,0.136549,1.43059,0.237367,-0.809322,5460.38
186,0.136549,1.43059,0.237367,0.190678,-32035.3
187,0.136549,1.43059,0.237367,-0.0033182,-32139.3
188,0.136549,1.43059,0.237367,-0.208238,-32175.5
189,0.136549,1.43059,0.237367,-0.179207,-32176.4
190,0.136549,1.43059,0.237367,-0.182488,-32176.4
191,0.136549,1.43059,0.237367,-0.182402,-32176.4
192,0.136549,1.43059,0.237367,-0.182418,-32176.4
193,0.136549,1.43059,0.237367,-0.182419,-32176.4
194,0.136549,1.43059,0.237367,-0.182419,-32176.4
195,0.136549,1.43059,0.237367,-0.182445,-32176.4
196,0.136549,1.43059,0.237367,-0.182419,-32176.4
197,0.136549,1.43059,0.237367,-0.182419,-32176.4
198,0.136549,1.43059,0.237367,-0.182419,-32176.4
199,0.136549,1.43059,0.237367,-0.182419,-32176.4
200,0.136549,1.43059,0.237367,-0.182419,-32176.4
201,0.136549,1.43059,0.237367,-0.182419,-32176.4
202,0.136549,1.43059,0.237367,-0.182419,-32176.4
203,0.128713,1.53755,0.173339,-0.173549,-32144.5
204,0.136549,1.43059,0.237367,-0.182419,-32176.4
205,1.13655,1.43059,0.237367,-0.182419,-26384.6
206,-1.48148,1.43059,0.237367,-0.182419,693809
207,0.136549,1.43059,0.237367,-0.182419,-32176.4
208,-0.481485,1.43059,0.237367,-0.182419,201445
209,0.518515,1.43059,0.237367,-0.182419,-29366
210,0.317986,1.43059,0.237367,-0.182419,-30881.6
211,-0.0995189,1.43059,0.237367,-0.182419,151730
212,0.0463791,1.43059,0.237367,-0.182419,-12199.9
213,0.205852,1.43059,0.237367,-0.182419,-31836.2
214,0.0476353,1.43059,0.237367,-0.182419,-12984.6
215,0.102587,1.43059,0.237367,-0.182419,-31893
216,0.152079,1.43059,0.237367,-0.182419,-32157.3
217,0.14113,1.43059,0.237367,-0.182419,-32176.8
218,0.13917,1.43059,0.237367,-0.182419,-32177.3
219,0.13913,1.43059,0.237367,-0.182419,-32177.3
220,0.139102,1.43059,0.237367,-0.182419,-32177.3
221,0.139103,1.43059,0.237367,-0.182419,-32177.3
222,0.139103,1.43059,0.237367,-0.182419,-32177.3
223,0.139103,1.43059,0.237367,-0.182419,-32177.3
224,0.139103,1.43059,0.237367,-0.182419,-32177.3
225,0.139103,1.43059,0.237367,-0.182419,-32177.3
226,0.139103,1.43059,0.237367,-0.182419,-32177.3
227,0.139103,1.43059,0.237367,-0.182419,-32177.3
228,0.139103,1.43059,0.237367,-0.182419,-32177.3
229,0.139103,1.43059,0.237367,-0.182419,-32177.3
230,0.139103,1.43059,0.237367,-0.182419,-32177.3
231,0.139103,1.43059,0.237367,-0.182419,-32177.3
232,0.139103,1.43059,0.237367,-0.182419,-32177.3
233,0.139103,1.43059,0.237367,-0.182419,-32177.3
234,0.139103,1.43059,0.237367,-0.182419,-32177.3
235,0.139103,1.43059,0.237367,-0.182419,-32177.3
236,0.139103,1.43059,0.237367,-0.182419,-32177.3
237,0.139103,1.43059,0.237367,-0.182419,-32177.3
238,0.139103,1.43059,0.237367,-0.182419,-32177.3
239,0.139103,1.43059,0.237367,-0.182419,-32177.3
240,0.139103,2.43059,0.237367,-0.182419,-31614.5
241,0.139103,-0.187441,0.237367,-0.182419,-25648.7
242,0.139103,1.43059,0.237367,-0.182419,-32177.3
243,0.139103,0.812559,0.237367,-0.182419,-31598.2
244,0.139103,1.81256,0.237367,-0.182419,-32103
245,0.139103,1.53558,0.237367,-0.182419,-32180.1
246,0.139103,1.49947,0.237367,-0.182419,-32181.4
247,0.139103,1.49765,0.237367,-0.182419,-32181.4
248,0.139103,1.4971,0.237367,-0.182419,-32181.4
249,0.139103,1.49712,0.237367,-0.182419,-32181.4
250,0.139103,1.49712,0.237367,-0.182419,-32181.4
251,0.139103,1.49712,0.237367,-0.182419,-32181.4
252,0.139103,1.49712,0.237367,-0.182419,-32181.4
253,0.139103,1.49712,0.237367,-0.182419,-32181.4
254,0.139103,1.49712,0.237367,-0.182419,-32181.4
255,0.139103,1.49712,0.237367,-0.182419,-32181.4
